Model,Train R²,Test R²,MAE,RMSE,MAPE (%)
Random Forest,0.9756985637255009,0.9620404283671729,55415.240164413444,110584.12758192945,5.046720077224139
Linear Regression,0.959871816774611,0.9605184587750653,61615.80846151557,112779.24775590426,6.22902228387093
Decision Tree,0.9662100520736544,0.9571883997064398,65061.31123437806,117439.14361849423,6.04333612599776
Gradient Boosting,0.911196686807377,0.9077552796841515,123401.85170099743,172386.36173755935,16.76746505311329
XGBoost,0.8795162952441705,0.8814438519266733,141930.76718628593,195431.32877615857,19.828024956793104
